         26684135 function calls (26579068 primitive calls) in 110.696 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    99481    0.132    0.000    0.132    0.000 {built-in method prepareGeometryChange}
    79650    0.132    0.000    0.132    0.000 {built-in method viewportTransform}
    14688    0.127    0.000    0.127    0.000 ViewBox.py:374(viewRect)
    10016    0.017    0.000    0.125    0.000 _methods.py:27(_prod)
     9648    0.014    0.000    0.122    0.000 _methods.py:15(_amax)
    10878    0.068    0.000    0.121    0.000 AxisItem.py:325(updateAutoSIPrefix)
    86326    0.121    0.000    0.121    0.000 {built-in method adjusted}
    10016    0.091    0.000    0.119    0.000 ctypeslib.py:177(from_param)
        1    0.000    0.000    0.118    0.118 VTickGroup.py:1(<module>)
   178253    0.116    0.000    0.116    0.000 {built-in method setCosmetic}
 2208/256    0.007    0.000    0.115    0.000 WidgetGroup.py:185(autoAdd)
    10015    0.083    0.000    0.112    0.000 PlotItem.py:1052(alphaState)
    45438    0.112    0.000    0.112    0.000 ViewBox.py:370(viewRange)
      128    0.002    0.000    0.109    0.001 GraphicsView.py:205(resizeEvent)
        1    0.001    0.001    0.105    0.105 functions.py:6(<module>)
    10015    0.077    0.000    0.104    0.000 PlotItem.py:1000(downsampleMode)
      128    0.002    0.000    0.103    0.001 GraphicsView.py:262(setRange)
   112244    0.099    0.000    0.099    0.000 {built-in method update}
    10015    0.040    0.000    0.099    0.000 PlotCurveItem.py:234(setBrush)
    10015    0.041    0.000    0.098    0.000 ScatterPlotItem.py:600(clear)
    15103    0.098    0.000    0.098    0.000 ViewBox.py:387(targetRect)
   178106    0.098    0.000    0.098    0.000 {built-in method isCosmetic}
    14975    0.037    0.000    0.095    0.000 ViewBox.py:1006(mapFromItemToView)
   142409    0.092    0.000    0.092    0.000 {getattr}
   140120    0.091    0.000    0.091    0.000 GraphicsItem.py:107(forgetViewBox)
        2    0.000    0.000    0.090    0.045 __init__.py:17(<module>)
    14976    0.090    0.000    0.090    0.000 {numpy.core.multiarray.concatenate}
    64304    0.089    0.000    0.089    0.000 {built-in method style}
   115743    0.087    0.000    0.087    0.000 {max}
   300567    0.083    0.000    0.083    0.000 {sip.unwrapinstance}
   131028    0.081    0.000    0.081    0.000 {isChecked}
    59166    0.079    0.000    0.079    0.000 PlotCurveItem.py:88(getData)
   259478    0.079    0.000    0.079    0.000 debug.py:409(mark)
       64    0.018    0.000    0.079    0.001 axisCtrlTemplate_pyqt.py:18(setupUi)
    74861    0.076    0.000    0.076    0.000 {method 'view' of 'numpy.ndarray' objects}
      128    0.003    0.000    0.076    0.001 AxisItem.py:20(__init__)
    49345    0.075    0.000    0.075    0.000 {built-in method addRect}
   120057    0.074    0.000    0.074    0.000 PlotDataItem.py:167(implements)
     4992    0.073    0.000    0.073    0.000 {built-in method end}
       16    0.008    0.000    0.072    0.005 __init__.py:1(<module>)
   192897    0.072    0.000    0.072    0.000 __init__.py:68(getConfigOption)
    10015    0.062    0.000    0.071    0.000 ScatterPlotItem.py:461(setSymbol)
        1    0.002    0.002    0.070    0.070 blitz_tools.py:1(<module>)
   143510    0.070    0.000    0.070    0.000 {min}
   140120    0.070    0.000    0.070    0.000 GraphicsItem.py:78(forgetViewWidget)
    10015    0.067    0.000    0.069    0.000 PlotDataItem.py:477(getData)
     1344    0.014    0.000    0.068    0.000 WidgetGroup.py:144(addWidget)
    69662    0.067    0.000    0.067    0.000 {built-in method setMatrix}
     5008    0.004    0.000    0.066    0.000 planning.py:388(execute)
    10016    0.021    0.000    0.066    0.000 ScatterPlotItem.py:92(__init__)
        1    0.065    0.065    0.065    0.065 Qt.py:2(<module>)
   259360    0.065    0.000    0.065    0.000 {abs}
        1    0.000    0.000    0.065    0.065 inline_tools.py:3(<module>)
    77998    0.064    0.000    0.064    0.000 {range}
        1    0.001    0.001    0.064    0.064 __init__.py:65(<module>)
   127952    0.064    0.000    0.064    0.000 {built-in method setAlpha}
        1    0.001    0.001    0.062    0.062 __init__.py:106(<module>)
   126576    0.062    0.000    0.062    0.000 {built-in method setHeight}
        1    0.000    0.000    0.062    0.062 ext_tools.py:1(<module>)
     5008    0.060    0.000    0.062    0.000 planning.py:63(execute)
   218977    0.061    0.000    0.061    0.000 {method 'append' of 'collections.deque' objects}
   150775    0.061    0.000    0.061    0.000 debug.py:388(__init__)
       96    0.001    0.000    0.061    0.001 ViewBox.py:360(resizeEvent)
    10015    0.053    0.000    0.061    0.000 ScatterPlotItem.py:484(setSize)
    15007    0.060    0.000    0.060    0.000 {method 'clip' of 'numpy.ndarray' objects}
    15359    0.059    0.000    0.059    0.000 {built-in method mapFromItem}
       32    0.008    0.000    0.059    0.002 GraphicsView.py:52(__init__)
    24992    0.059    0.000    0.059    0.000 {numpy.core.multiarray.arange}
    10156    0.031    0.000    0.056    0.000 PlotWidget.py:68(__getattr__)
       32    0.025    0.001    0.056    0.002 plotConfigTemplate_pyqt.py:18(setupUi)
    20030    0.039    0.000    0.056    0.000 ScatterPlotItem.py:394(invalidate)
        1    0.001    0.001    0.055    0.055 __init__.py:81(<module>)
    15027    0.018    0.000    0.054    0.000 numeric.py:392(asarray)
        2    0.000    0.000    0.054    0.027 __init__.py:9(<module>)
        1    0.000    0.000    0.053    0.053 mio.py:3(<module>)
